utci,rr
0.05777015643792005,1.2242330555695595
0.16842836832090402,1.2317667648287731
0.2790728659273256,1.2348021913749614
0.3897242206720275,1.2400867592776619
0.500355004001884,1.2386239031108248
0.6109835016189802,1.2364113331584825
0.7216119992360763,1.234198763206141
0.8322199254383271,1.2252387691842594
0.9327811281850327,1.219895280685951
0.9428301373533365,1.217028488947884
2.790050663871426,1.2302609427609426
5.585851968320526,1.220514069264068
8.381653272769626,1.2077681577681574
11.177454577218725,1.1927729677729673
13.973255881667825,1.1777777777777771
16.769057186116925,1.163532347282346
19.564858490566053,1.1492869167869157
22.360659795015152,1.1380405242905232
25.156461099464252,1.1260443722943716
27.952262403913352,1.1155477392977389
30.74806370836245,1.1073003848003848
33.54386501281158,1.09830327080327
36.33966631726068,1.091555435305434
39.13546762170978,1.0863071188071176
41.93126892615891,1.0788095238095234
44.72707023060798,1.0758104858104849
47.52287153505711,1.0705621693121685
49.30201781970652,1.0595656966490292
51.750820598223584,1.0728114478114472
55.58355076446941,1.0675631313131309
59.416280930715175,1.0623148148148145
63.24829850226399,1.0638143338143324
67.07976183349297,1.0705621693121685
70.9122544681731,1.0675631313131309
74.7453805203616,1.058566017316016
78.5792983444357,1.0420713083213071
82.41400794039538,1.0180790043290031
86.24776741009231,1.0030838143338139
90.07820143787012,1.0195785233285228
93.90435989746607,1.0765602453102447
97.03120280571517,1.1577484882842022
99.1490548728452,1.306736411736411
99.4017963816351,1.4901463293650785
99.58802696705922,1.6712444885361553
99.73435099846391,1.849112433862433
99.85407066052227,2.0210697751322746
99.9604881379075,2.194264219576719
